item_id,timestamp,target_value
0,2021-09-01 00:00:01,-25.0
1,2021-09-01 00:00:02,-24.948202882749875
2,2021-09-01 00:00:03,-24.896459424326864
3,2021-09-01 00:00:04,-24.84476956914351
4,2021-09-01 00:00:05,-24.793133261669944
5,2021-09-01 00:00:06,-24.741550446433827
6,2021-09-01 00:00:07,-24.690021068020293
7,2021-09-01 00:00:08,-24.638545071071867
8,2021-09-01 00:00:09,-24.58712240028843
9,2021-09-01 00:00:10,-24.53575300042715
10,2021-09-01 00:00:11,-24.484436816302427
11,2021-09-01 00:00:12,-24.433173792785823
12,2021-09-01 00:00:13,-24.38196387480601
13,2021-09-01 00:00:14,-24.330807007348717
14,2021-09-01 00:00:15,-24.279703135456664
15,2021-09-01 00:00:16,-24.228652204229498
16,2021-09-01 00:00:17,-24.177654158823735
17,2021-09-01 00:00:18,-24.126708944452723
18,2021-09-01 00:00:19,-24.075816506386552
19,2021-09-01 00:00:20,-24.02497678995202
20,2021-09-01 00:00:21,-23.974189740532545
21,2021-09-01 00:00:22,-23.923455303568147
22,2021-09-01 00:00:23,-23.87277342455534
23,2021-09-01 00:00:24,-23.82214404904714
24,2021-09-01 00:00:25,-23.771567122652918
25,2021-09-01 00:00:26,-23.72104259103844
26,2021-09-01 00:00:27,-23.670570399925708
27,2021-09-01 00:00:28,-23.620150495093007
28,2021-09-01 00:00:29,-23.569782822374748
29,2021-09-01 00:00:30,-23.51946732766148
30,2021-09-01 00:00:31,-23.46920395689979
31,2021-09-01 00:00:32,-23.41899265609228
32,2021-09-01 00:00:33,-23.36883337129747
33,2021-09-01 00:00:34,-23.318726048629777
34,2021-09-01 00:00:35,-23.26867063425943
35,2021-09-01 00:00:36,-23.218667074412423
36,2021-09-01 00:00:37,-23.168715315370463
37,2021-09-01 00:00:38,-23.11881530347091
38,2021-09-01 00:00:39,-23.068966985106684
39,2021-09-01 00:00:40,-23.019170306726288
40,2021-09-01 00:00:41,-22.96942521483367
41,2021-09-01 00:00:42,-22.919731655988194
42,2021-09-01 00:00:43,-22.870089576804602
43,2021-09-01 00:00:44,-22.820498923952933
44,2021-09-01 00:00:45,-22.770959644158467
45,2021-09-01 00:00:46,-22.721471684201674
46,2021-09-01 00:00:47,-22.672034990918178
47,2021-09-01 00:00:48,-22.622649511198652
48,2021-09-01 00:00:49,-22.57331519198879
49,2021-09-01 00:00:50,-22.52403198028926
50,2021-09-01 00:00:51,-22.474799823155628
51,2021-09-01 00:00:52,-22.425618667698302
52,2021-09-01 00:00:53,-22.376488461082502
53,2021-09-01 00:00:54,-22.32740915052814
54,2021-09-01 00:00:55,-22.278380683309855
55,2021-09-01 00:00:56,-22.22940300675687
56,2021-09-01 00:00:57,-22.180476068252986
57,2021-09-01 00:00:58,-22.131599815236505
58,2021-09-01 00:00:59,-22.082774195200194
59,2021-09-01 00:01:00,-22.0339991556912
60,2021-09-01 00:01:01,-21.985274644311012
61,2021-09-01 00:01:02,-21.936600608715395
62,2021-09-01 00:01:03,-21.887976996614363
63,2021-09-01 00:01:04,-21.839403755772068
64,2021-09-01 00:01:05,-21.7908808340068
65,2021-09-01 00:01:06,-21.74240817919089
66,2021-09-01 00:01:07,-21.693985739250678
67,2021-09-01 00:01:08,-21.645613462166445
68,2021-09-01 00:01:09,-21.59729129597237
69,2021-09-01 00:01:10,-21.54901918875646
70,2021-09-01 00:01:11,-21.500797088660498
71,2021-09-01 00:01:12,-21.452624943879982
72,2021-09-01 00:01:13,-21.404502702664104
73,2021-09-01 00:01:14,-21.356430313315634
74,2021-09-01 00:01:15,-21.308407724190914
75,2021-09-01 00:01:16,-21.260434883699787
76,2021-09-01 00:01:17,-21.212511740305537
77,2021-09-01 00:01:18,-21.16463824252483
78,2021-09-01 00:01:19,-21.116814338927682
79,2021-09-01 00:01:20,-21.06903997813737
80,2021-09-01 00:01:21,-21.021315108830407
81,2021-09-01 00:01:22,-20.973639679736465
82,2021-09-01 00:01:23,-20.92601363963834
83,2021-09-01 00:01:24,-20.87843693737188
84,2021-09-01 00:01:25,-20.830909521825937
85,2021-09-01 00:01:26,-20.783431341942297
86,2021-09-01 00:01:27,-20.736002346715672
87,2021-09-01 00:01:28,-20.688622485193576
88,2021-09-01 00:01:29,-20.64129170647633
89,2021-09-01 00:01:30,-20.594009959716985
90,2021-09-01 00:01:31,-20.546777194121255
91,2021-09-01 00:01:32,-20.49959335894747
92,2021-09-01 00:01:33,-20.452458403506547
93,2021-09-01 00:01:34,-20.405372277161895
94,2021-09-01 00:01:35,-20.35833492932938
95,2021-09-01 00:01:36,-20.311346309477287
96,2021-09-01 00:01:37,-20.264406367126227
97,2021-09-01 00:01:38,-20.21751505184912
98,2021-09-01 00:01:39,-20.170672313271126
99,2021-09-01 00:01:40,-20.12387810106958
100,2021-09-01 00:01:41,-20.077132364973956
101,2021-09-01 00:01:42,-20.030435054765796
102,2021-09-01 00:01:43,-19.98378612027868
103,2021-09-01 00:01:44,-19.937185511398155
104,2021-09-01 00:01:45,-19.890633178061663
105,2021-09-01 00:01:46,-19.84412907025854
106,2021-09-01 00:01:47,-19.7976731380299
107,2021-09-01 00:01:48,-19.751265331468637
108,2021-09-01 00:01:49,-19.70490560071933
